Category,Company,Status,Web Address,Positioning / Tagline,Primary CTAs,Keyword / Messaging vocabulary,Named clients / logos,Blog cadence & format,LinkedIn followers (approx),Employees (approx),Signature tactic to borrow
Blockchain – Confidential L1 / Data DAO,Oasis Protocol,Active; pivoted from data marketplace to confidential AI,https://oasis.net/,"""Privacy usable, verifiable, accessible for every chain""; Sapphire = only confidential EVM in production. Dev + enterprise confidential-AI audience.",Getting Started / Build on Sapphire (docs-led),"confidential, privacy-preserving, ParaTime, Sapphire, remote attestation, data tokenization","Ruyi Health, io.net, Bitmark/Feral File; $200M Ecosystem Fund","~monthly blog: confidential AI, attestation, partnerships","~6,400",~100,Re-anchor an older data-monetization story on the current hot wedge (confidential AI for agents)
Blockchain – Decentralized AI,Fetch.ai (ASI Alliance),Active; merged into ASI (SingularityNET+CUDOS). NB: Ocean Protocol left this merger Oct 2025,https://fetch.ai/,"""Building the autonomous economy"" – infra for AI agents that transact. Dev + agentic-commerce audience.",Claim Your Agent / business sub-site CTAs,"autonomous agents, agentic economy, ASI:One/Chain/Create, decentralized AI, AEAs","Visa (payments), Zus, CUDOS","High cadence, PR-wire heavy product launches",n/v,~87+ listed,Separate business.fetch.ai enterprise sub-site from the crypto-native homepage
Blockchain – Web3 Compute,iExec,"Active, France (Lyon), founded ~2016",https://iex.ec/,"""Build With Programmable Privacy"" – blockchain + TEEs; ""The Trust Layer of AI & dePIN"". Privacy-app devs + enterprises.",Create your Privacy App / Try The Demo / iApp Generator CLI,"confidential computing, programmable privacy, Trust Layer, TEE/TDX, dePIN, RLC","Intel, Google (Confidential Computing beta), Aethir, ElizaOS","Regular blog: 2026 Privacy Roadmap, TDX migration, co-grants","~4,300",~71,Dated public roadmap post as a marketing artifact + small-$ co-grant PR hooks
Blockchain – Programmable Privacy,Secret Network,"Active, niche; pivoting to SecretAI/SecretVM",https://scrt.network/,"""The first blockchain with customizable privacy"" – private-by-default contracts. Web3 devs + AI builders.",Explore the Builder's Program,"customizable privacy, private smart contracts, SecretAI, SecretVM, confidential VM","ALTER, Shade, Sienna, Stashh; AI-infra partners",~bi-monthly numbered roadmap updates,"~1,170 (+550 foundation)",11–50,Predictable numbered roadmap-update cadence the community anticipates
Blockchain – Real-Time Data,Streamr,"Active, founded 2017 (Zug); resourcing pressure flagged",https://streamr.network/,"""The decentralized real-time data network""; repositioned ""live data for AI, video & DePIN"". IoT/DePIN/AI builders.",Hub marketplace / Network product entry points,"real-time data, pub/sub, Data Unions, DePIN, vendor-neutral protocol","Swash (200k+ users), DIMO, Polygon; past: Bosch, GSMA, HPE",Monthly blog + quarterly public Transparency Report,"~8,400",~20,Per-customer branded case-study landing pages + public quarterly Transparency Report
Blockchain – Confidential AI Compute,Phala Network,Active; most aggressively repositioned to commercial confidential-AI cloud,https://phala.network/,"""Confidential AI Cloud · Private Inference on GPU TEE"" – ""AI people can trust"". AI cos (legal/health/fintech) + TEE devs.",Sign up for free credits (PLG) / Get Started on Phala Cloud,"confidential AI, GPU TEE, verifiable compute, sealed agents, dstack, attestation","NVIDIA, Intel, OpenRouter, Sentient, NEAR AI",Near-weekly blog; dstack donated to Linux Foundation,n/v,~11–28 (~$3.1M ARR claim),"""Success Stories"" page with QUANTIFIED outcomes (300% sales, 60% faster) not just logos"
Cloud Data Platform,dbt Labs,"Standalone, VC-backed; category creator (analytics engineering)",https://www.getdbt.com,"""Deliver trusted data with dbt"" – quality, governance, collaboration. Data/analytics engineers, mid-market→enterprise.","Get a demo / Start free (14-day, no CC)","analytics engineering, trusted data, data products, governance, semantic layer, AI-ready","Purple, SpotOn, Sunrun, Wipfli",Active dev+marketing blogs; annual State of Analytics Engineering report,"~149,000",~870,"Annual ""State of X"" practitioner report as full-funnel content+PR engine"
Cloud Data Platform,Fivetran,"Standalone, PE/VC-backed",https://www.fivetran.com,"""Know, protect, and scale your data with governed data movement."" Data-engineering leaders, mid-market→enterprise.",Start for free / Book a demo / interactive demo,"governed data movement, automated, AI-ready, eliminate DIY pipelines","Pfizer, Coke One NA, SQM, Raiffeisen, DOUGLAS",Regular; analyst-report amplification (Gartner MQ),"~153,000","~1,250–1,800",Localized/industry-specific proof pages (e.g. a DACH case-study hub)
Data Marketplace,AWS Data Exchange,Sub-product of AWS; no independent GTM,https://aws.amazon.com/data-exchange,"""Find, subscribe to, and use third-party data in the cloud."" Existing AWS enterprises.",Browse catalog / Continue to subscribe / Contact us (no trial),"data products, qualified data providers, one catalog, seamless AWS integration","Reuters, TransUnion, Dun & Bradstreet, Verisk; Moderna (buyer)",No dedicated blog; spread across AWS blogs,n/a (AWS ~10.9M),n/a,Ride the platform: cloud-marketplace listings tap enterprise procurement flows
Data Marketplace,Databricks Marketplace,Sub-product of Databricks,https://www.databricks.com/product/marketplace,"""Open marketplace"" – no proprietary lock-in, no ETL, no replication. Databricks/Unity Catalog customers cross-cloud.",Get instant access / Try for free / Request access (tiered),"open, no lock-in, Delta Sharing, Unity Catalog, cross-cloud","2,500+ listings/250+ providers; CoreLogic, ZoomInfo, FiscalNote",Folded into main blog; spikes at Data+AI Summit,n/a (DBX ~1.28M),"~15,600",Openness / open protocols (Delta Sharing) as the core marketplace differentiator
